name,term,count
Theater,12W,179
Theater,03S,179
Theater,10F,179
Physics and Astronomy,05F,178
History,07S,178
Psychology,03F,178
"Film, Television, and Digital Media",13F,178
Theater,09S,178
Theater,07S,178
Physics and Astronomy,04F,178
Theater,02S,178
History,10W,177
Music,01F,177
Chemistry and Biochemistry,04S,177
Management,07W,177
Physics and Astronomy,16F,176
Music,02W,176
"Film, Television, and Digital Media",15F,175
Music,01S,175
Theater,17F,175
Music,01W,175
Physics and Astronomy,08F,174
"Film, Television, and Digital Media",14F,174
Mathematics,17F,174
Mathematics,18F,174
History,06F,173
Music,02S,173
Management,08F,173
Physics and Astronomy,15F,173
Theater,17S,173
Physics and Astronomy,12F,173
Mathematics,18W,173
"Film, Television, and Digital Media",16F,173
"Film, Television, and Digital Media",12F,172
Mathematics,17W,172
Physics and Astronomy,13F,172
Physics and Astronomy,20S,172
Theater,11F,172
Theater,18F,172
Music,03S,171
Mathematics,19W,171
Music,03W,171
Theater,06F,171
Physics and Astronomy,09F,171
Physics and Astronomy,04S,171
Chemistry and Biochemistry,08W,171
Physics and Astronomy,14F,170
Management,15S,170
"Film, Television, and Digital Media",11F,170
Theater,16W,170
Management,05W,169
Physics and Astronomy,04W,169
Management,20W,169
Physics and Astronomy,11F,169
Theater,19W,169
"Film, Television, and Digital Media",09F,168
Theater,09F,167
Music,02F,167
Management,06W,167
Management,18S,167
Theater,18W,166
Management,16S,166
Physics and Astronomy,03W,166
"Film, Television, and Digital Media",10F,166
Physics and Astronomy,10F,166
Management,08S,166
Mathematics,16W,166
Physics and Astronomy,03S,165
Physics and Astronomy,01W,165
Theater,07F,165
Physics and Astronomy,99W,165
Theater,04W,165
Physics and Astronomy,01S,163
Theater,05F,163
Theater,16F,162
Theater,20W,162
Mathematics,19S,162
Physics and Astronomy,02S,161
Physics and Astronomy,02W,161
Mathematics,17S,161
Music,99F,160
Chemistry and Biochemistry,07F,160
History,09F,160
"Film, Television, and Digital Media",13W,160
Mathematics,18S,159
Theater,16S,159
Music,99S,158
Mathematics,15F,158
Management,07F,158
Mathematics,15W,158
Physics and Astronomy,00W,158
Physics and Astronomy,03F,158
Theater,19F,157
Physics and Astronomy,00S,157
History,15W,157
Theater,19S,157
"Film, Television, and Digital Media",15S,157
Management,05F,157
Theater,12S,157
Management,04F,156
Theater,15W,156
History,11W,155
"Film, Television, and Digital Media",13S,155
Music,99W,155
Theater,03F,155
Physics and Astronomy,99S,155
"Film, Television, and Digital Media",12S,154
Physics and Astronomy,00F,154
History,08F,154
Mathematics,16S,154
Mathematics,14F,153
Music,00S,153
Physics and Astronomy,02F,153
Music,00W,152
Mathematics,20S,152
Theater,03W,152
Physics and Astronomy,01F,152
English,05W,151
English,09W,151
Management,03S,151
"Film, Television, and Digital Media",16W,150
Management,06F,150
English,06W,150
History,12W,150
Theater,13W,149
Physics and Astronomy,99F,149
"Film, Television, and Digital Media",09S,149
Theater,20S,149
"Film, Television, and Digital Media",07W,149
"Film, Television, and Digital Media",06F,149
History,10S,149
Management,99W,149
"Film, Television, and Digital Media",07F,148
Theater,14F,148
"Film, Television, and Digital Media",08F,148
History,05F,148
Mathematics,15S,148
Chemistry and Biochemistry,07S,147
Mathematics,13F,147
Theater,04F,147
"Film, Television, and Digital Media",14S,147
"Film, Television, and Digital Media",14W,147
Theater,02W,147
History,17F,147
Theater,15F,146
History,18W,146
Theater,05S,146
Management,02S,146
History,13S,146
History,12S,145
Theater,00F,145
"Film, Television, and Digital Media",17F,144
History,16W,144
Mathematics,14S,143
"Film, Television, and Digital Media",17W,142
English,05F,142
Mathematics,09W,142
Theater,14W,142
History,12F,142
"Film, Television, and Digital Media",08S,142
Mathematics,11F,142
History,14F,141
English,07W,141
Theater,05W,141
"Film, Television, and Digital Media",04F,141
"Film, Television, and Digital Media",11W,141
Theater,00W,141
Theater,13F,141
"Film, Television, and Digital Media",12W,140
Mathematics,14W,140
"Film, Television, and Digital Media",05F,140
Mathematics,05W,140
Theater,04S,140
English,16F,140
Theater,15S,140
History,07F,140
English,06S,140
History,17W,140
History,13W,139
English,16W,139
English,17F,139
English,19W,139
Mathematics,13W,139
Mathematics,12W,139
Management,07S,138
History,11F,138
Mathematics,12F,138
English,16S,138
History,14W,138
History,17S,138
Mathematics,08W,138
Mathematics,11W,137
Mathematics,08F,137
English,06F,137
"Film, Television, and Digital Media",17S,137
"Film, Television, and Digital Media",16S,136
Mathematics,09F,136
"Film, Television, and Digital Media",02F,136
History,15S,136
English,15F,135
Theater,99F,135
Management,99S,135
Theater,02F,135
English,20W,134
Mathematics,02W,134
English,14W,134
"Film, Television, and Digital Media",10S,134
Theater,01W,134
Management,01S,134
"Film, Television, and Digital Media",03F,134
"Film, Television, and Digital Media",03S,133
History,10F,133
Mathematics,10F,133
English,08W,133
"Film, Television, and Digital Media",07S,132
English,04F,132
English,17W,132
English,17S,132
"Film, Television, and Digital Media",04W,132
Management,04S,132
"Film, Television, and Digital Media",18S,132
Theater,00S,131
Management,06S,131
English,18W,131
Mathematics,03W,131
History,19W,131
History,14S,131
"Film, Television, and Digital Media",09W,130
Theater,01S,130
Mathematics,01W,130
History,02W,130
Mathematics,05S,130
"Film, Television, and Digital Media",08W,130
Mathematics,08S,129
English,09S,129
English,18F,129
Mathematics,07W,128
Mathematics,02S,128
"Film, Television, and Digital Media",15W,128
Theater,01F,128
Theater,14S,128
"Film, Television, and Digital Media",18F,127
English,10W,127
Mathematics,06W,127
"Film, Television, and Digital Media",10W,126
"Film, Television, and Digital Media",03W,126
"Film, Television, and Digital Media",18W,126
History,04S,126
History,18S,126
Management,05S,126
Mathematics,04W,126
Mathematics,06S,126
Mathematics,07F,126
Mathematics,09S,126
Theater,13S,126
English,07F,125
Mathematics,01F,125
"Film, Television, and Digital Media",02S,125
Mathematics,10S,125
English,13W,124
"Film, Television, and Digital Media",06S,124
English,19S,124
English,08F,124
Management,00W,123
Mathematics,12S,123
Mathematics,10W,123
English,15W,123
English,07S,123
Mathematics,03F,122
Mathematics,06F,122
English,19F,122
Theater,12F,122
"Film, Television, and Digital Media",00W,122
"Film, Television, and Digital Media",01F,122
"Film, Television, and Digital Media",06W,122
