name,term,count
Physical Sciences,00S,12379
Physical Sciences,99S,12221
Life Sciences,05S,12160
Life Sciences,07F,12122
Life Sciences,09W,12069
Life Sciences,06W,12035
Life Sciences,06F,11970
Life Sciences,10F,11968
Life Sciences,08F,11956
Life Sciences,11W,11936
Life Sciences,05W,11920
Life Sciences,07W,11846
Physical Sciences,04S,11541
Life Sciences,04S,11386
Life Sciences,07S,11365
Life Sciences,09S,11358
Life Sciences,10S,11246
Life Sciences,08W,11148
Life Sciences,06S,11065
Life Sciences,03F,10977
Life Sciences,00F,10908
Life Sciences,02F,10860
Life Sciences,03W,10742
Life Sciences,04W,10738
Life Sciences,03S,10571
Life Sciences,08S,10546
Life Sciences,01W,10347
Life Sciences,01F,10320
Life Sciences,02W,10286
Life Sciences,99S,10183
Life Sciences,02S,10033
Life Sciences,99F,9966
Life Sciences,00W,9815
Life Sciences,99W,9739
Life Sciences,00S,9651
Life Sciences,01S,9149
