term,id,count
12S,41,6
12F,42,3
13W,43,3
13S,44,21
13F,45,21
14W,46,14
14S,47,32
14F,48,54
15W,49,16
15S,50,47
15F,51,74
16W,52,75
16S,53,74
16F,54,80
17W,55,60
17S,56,84
17F,57,68
18W,58,69
18S,59,75
18F,60,73
19W,61,75
19S,62,79
19F,63,52
20W,64,41
20S,65,46
