section_id,enrollment_count,created_at
5878803,0,2020-01-21 00:34:16.980296+00
5878804,0,2020-01-21 00:34:16.992346+00
5878805,0,2020-01-21 00:34:16.99375+00
5878806,0,2020-01-21 00:34:16.997123+00
5878807,0,2020-01-21 00:34:17.000833+00
5878808,0,2020-01-21 00:34:17.006456+00
5878810,0,2020-01-21 00:34:17.023704+00
5878813,0,2020-01-21 00:34:17.037583+00
5878814,0,2020-01-21 00:34:17.038829+00
5878815,0,2020-01-21 00:34:17.049058+00
5878816,0,2020-01-21 00:34:17.067178+00
5878817,0,2020-01-21 00:34:17.072125+00
5878818,0,2020-01-21 00:34:17.07262+00
5878820,0,2020-01-21 00:34:17.080121+00
5878821,0,2020-01-21 00:34:17.085762+00
5878823,0,2020-01-21 00:34:17.091846+00
5878824,0,2020-01-21 00:34:17.092115+00
5878822,0,2020-01-21 00:34:17.092565+00
5878826,0,2020-01-21 00:34:17.111707+00
5878825,0,2020-01-21 00:34:17.112786+00
5878827,0,2020-01-21 00:34:17.114837+00
5878828,0,2020-01-21 00:34:17.123949+00
5878829,0,2020-01-21 00:34:17.125439+00
5878830,0,2020-01-21 00:34:17.136148+00
5878831,0,2020-01-21 00:34:17.136649+00
5878812,0,2020-01-21 00:34:17.146465+00
5878832,0,2020-01-21 00:34:17.147567+00
5878834,0,2020-01-21 00:34:17.208375+00
5878835,0,2020-01-21 00:34:17.210278+00
5878837,0,2020-01-21 00:34:17.223565+00
5878839,0,2020-01-21 00:34:17.238118+00
5878841,0,2020-01-21 00:34:17.24833+00
5878838,0,2020-01-21 00:34:17.250359+00
5878843,0,2020-01-21 00:34:17.252295+00
5878844,0,2020-01-21 00:34:17.26424+00
5878845,0,2020-01-21 00:34:17.272731+00
5878847,0,2020-01-21 00:34:17.296943+00
5878850,0,2020-01-21 00:34:17.371268+00
5878851,0,2020-01-21 00:34:17.385133+00
5878853,0,2020-01-21 00:34:17.404121+00
5878854,0,2020-01-21 00:34:17.409313+00
5878855,0,2020-01-21 00:34:17.415115+00
5878858,0,2020-01-21 00:34:17.437797+00
5878859,0,2020-01-21 00:34:17.441506+00
5878860,0,2020-01-21 00:34:17.448072+00
5878862,0,2020-01-21 00:34:17.51266+00
5878864,0,2020-01-21 00:34:17.522917+00
5878865,0,2020-01-21 00:34:17.546557+00
5878867,0,2020-01-21 00:34:17.551096+00
5878866,0,2020-01-21 00:34:17.5513+00
5878868,0,2020-01-21 00:34:17.560501+00
5878872,0,2020-01-21 00:34:17.580209+00
5878876,0,2020-01-21 00:34:17.589446+00
5878874,0,2020-01-21 00:34:17.590455+00
5878879,0,2020-01-21 00:34:17.604467+00
5878878,0,2020-01-21 00:34:17.6046+00
5878881,0,2020-01-21 00:34:17.619347+00
5878880,0,2020-01-21 00:34:17.623042+00
5878883,0,2020-01-21 00:34:17.666464+00
5878891,0,2020-01-21 00:34:17.702847+00
5878895,0,2020-01-21 00:34:17.706844+00
5878894,0,2020-01-21 00:34:17.710928+00
5878892,0,2020-01-21 00:34:17.714465+00
5878898,0,2020-01-21 00:34:17.7191+00
5878900,0,2020-01-21 00:34:17.719971+00
5878907,0,2020-01-21 00:34:17.73621+00
5878904,0,2020-01-21 00:34:17.737762+00
5878909,0,2020-01-21 00:34:17.739417+00
5878910,0,2020-01-21 00:34:17.742905+00
5878913,0,2020-01-21 00:34:17.860518+00
5878917,0,2020-01-21 00:34:17.896785+00
5878901,0,2020-01-21 00:34:17.904978+00
5878903,0,2020-01-21 00:34:17.906315+00
5878902,0,2020-01-21 00:34:17.908755+00
5878919,0,2020-01-21 00:34:17.945778+00
5878920,0,2020-01-21 00:34:17.947642+00
5878925,0,2020-01-21 00:34:17.98295+00
5878927,15,2020-01-21 00:34:18.007401+00
5878931,60,2020-01-21 00:34:18.014777+00
5878928,0,2020-01-21 00:34:18.015891+00
